name,role,n,base_rate,code_bytes,region_entropy,ece_calibrated,ece_raw,s_glob_surprise,s_glob_nis,s_spat_moran,s_spat_clustered,mean_nis,frac_super,b_mean_pi,b_pred_entropy,b_msp,b_mean_abs_llr,level
gcc_coreutils_64_O1_df,clean_fit,62880,0.271088,68860,6.1589,0.002017,0.008247,0.703101,436.563302,0.045419,0.014259,436.563302,0.016730,0.268805,0.008488,0.996473,722.820023,
icc_coreutils_64_O0_truncate,clean_fit,31785,0.293000,35424,5.6731,0.002241,0.008019,0.893682,435.555662,0.033003,0.032432,435.555662,0.005820,0.290908,0.006729,0.997397,412.409389,
gcc_coreutils_64_O1_sha384sum,clean_fit,33619,0.281954,36204,6.3329,0.001698,0.009320,0.653882,448.712290,0.037241,0.098921,448.712290,0.016538,0.280624,0.008219,0.996690,911.697885,
icc_coreutils_64_O2_test,clean_fit,14447,0.281027,16060,6.2515,0.002905,0.022177,0.898596,542.866818,0.091362,0.023438,542.866818,0.017720,0.273429,0.024954,0.990724,221.277460,
icc_coreutils_64_O2_env,clean_fit,14720,0.278533,16188,6.2378,0.004050,0.023886,0.831892,522.386452,0.090064,0.030864,522.386452,0.022011,0.273162,0.026808,0.989375,168.995833,
gcc_coreutils_64_O3_md5sum,clean_fit,29368,0.268830,32012,6.3342,0.002163,0.017021,0.825423,489.471709,0.068915,0.013333,489.471709,0.022984,0.264125,0.020634,0.991965,240.992874,
icc_coreutils_64_O3_chgrp,clean_fit,44159,0.269956,48492,6.2228,0.001591,0.013963,0.919327,537.977907,0.108436,0.041096,537.977907,0.019837,0.264213,0.022437,0.991338,520.739866,
icc_coreutils_64_O1_sort,clean_fit,57074,0.275677,61548,6.2659,0.001333,0.008047,0.762148,489.010597,0.047739,0.021898,489.010597,0.019203,0.273631,0.008898,0.996298,2019.234032,
icc_coreutils_64_O0_pathchk,clean_fit,19330,0.297517,21376,5.7327,0.003558,0.012426,1.183089,538.250592,0.039337,0.000000,538.250592,0.003259,0.295756,0.007565,0.997163,301.970563,
icc_coreutils_64_O0_setuidgid,clean_fit,21193,0.298164,23420,5.7269,0.002961,0.013241,0.915284,510.513218,0.042063,0.053061,510.513218,0.011560,0.296074,0.007619,0.997062,365.015238,
gcc_coreutils_64_O3_nproc,clean_fit,24253,0.266441,26412,6.2403,0.002746,0.018544,0.764800,458.879220,0.074847,0.016981,458.879220,0.021853,0.262066,0.025218,0.989852,129.609435,
icc_coreutils_64_O2_echo,clean_fit,11377,0.279160,12556,6.2161,0.003934,0.030854,0.726968,446.815781,0.116261,0.026432,446.815781,0.019953,0.269562,0.033531,0.987114,91.666086,
icc_coreutils_64_O3_ls,clean_fit,81851,0.268732,90188,6.3491,0.002519,0.016579,0.822086,432.521515,0.091373,0.050725,432.521515,0.015174,0.264892,0.023198,0.991143,992.470807,
icc_coreutils_64_O0_join,clean_fit,28667,0.295078,31564,5.7389,0.002146,0.009302,1.026354,471.458523,0.041626,0.000000,471.458523,0.002930,0.293002,0.005686,0.997861,526.355105,
icc_coreutils_64_O1_paste,clean_fit,15668,0.274636,16956,6.1531,0.003463,0.017335,0.888519,493.973406,0.072422,0.019108,493.973406,0.020041,0.273792,0.016085,0.993501,292.477644,
icc_coreutils_64_O0_mknod,clean_fit,21704,0.299438,23920,5.7581,0.002591,0.011710,0.835654,477.497614,0.035410,0.068000,477.497614,0.011519,0.297065,0.007721,0.997059,383.059163,
icc_coreutils_64_O0_logname,clean_fit,17869,0.297387,19804,5.7277,0.002203,0.012233,0.900022,474.848091,0.035451,0.000000,474.848091,0.005372,0.295097,0.008781,0.996671,232.081565,
icc_coreutils_64_O2_getlimits,clean_fit,29374,0.263703,32316,6.0894,0.001640,0.015400,0.811891,515.523672,0.096330,0.069024,515.523672,0.020222,0.257749,0.019541,0.992545,469.825750,
icc_coreutils_64_O0_pwd,clean_fit,21195,0.298278,23592,5.7187,0.003150,0.011046,0.945358,501.744131,0.034576,0.057554,501.744131,0.006558,0.296085,0.006892,0.997351,314.228879,
gcc_coreutils_64_O2_mktemp,clean_fit,20162,0.281867,22156,6.2620,0.002553,0.021313,0.841801,547.360913,0.089397,0.013636,547.360913,0.021823,0.274953,0.025436,0.990093,228.395597,
gcc_coreutils_64_O2_dirname,clean_holdout,14582,0.278905,15980,6.2296,0.004197,0.025762,0.831818,519.788130,0.092581,0.018576,519.788130,0.022151,0.272694,0.028618,0.988839,110.573190,
gcc_coreutils_64_O2_vdir,clean_holdout,61575,0.274803,67900,6.3131,0.002899,0.020137,0.802918,462.724702,0.089517,0.033871,462.724702,0.020138,0.269754,0.027028,0.989967,776.305105,
icc_coreutils_64_O3_unexpand,clean_holdout,24698,0.263584,26828,6.2133,0.002728,0.016353,0.821270,461.539712,0.074631,0.017452,461.539712,0.023200,0.259413,0.024084,0.990454,171.309332,
icc_coreutils_64_O0_pr,clean_holdout,41888,0.290656,46656,5.9018,0.001435,0.011680,1.129710,463.192235,0.043047,0.000000,463.192235,0.002459,0.290025,0.009911,0.995920,381.172042,
icc_coreutils_64_O3_numfmt,clean_holdout,48776,0.266217,53932,6.2965,0.003099,0.017427,0.769711,412.320751,0.068813,0.047009,412.320751,0.014392,0.264380,0.021822,0.991393,461.653376,
icc_coreutils_64_O0_sha224sum,clean_holdout,37285,0.321953,41084,5.8144,0.001357,0.005987,1.049603,409.625928,0.022099,0.000000,409.625928,0.002226,0.320593,0.004478,0.998335,880.049417,
gcc_coreutils_64_O1_tee,clean_holdout,14873,0.277886,16140,6.1226,0.001753,0.019625,0.808504,481.439880,0.071312,0.010989,481.439880,0.018355,0.275411,0.017522,0.992876,204.336964,
gcc_coreutils_64_O2_sort,clean_holdout,61001,0.275700,66684,6.3377,0.001190,0.014460,0.907563,512.284867,0.072051,0.017336,512.284867,0.020803,0.269751,0.018613,0.993146,1691.876382,
icc_coreutils_64_O0_stat,clean_holdout,61134,0.285962,69752,5.7698,0.002949,0.011046,0.837230,421.542576,0.052578,0.075227,421.542576,0.012612,0.284583,0.008936,0.996255,457.909890,
icc_coreutils_64_O2_unlink,clean_holdout,14590,0.276971,15964,6.2138,0.003660,0.024761,0.853541,518.210474,0.100092,0.018634,518.210474,0.022070,0.271161,0.029441,0.988221,117.714810,
p02_insertsort,desync,2413,0.227932,2641,5.7528,0.014817,0.020141,0.464872,305.650822,0.161087,0.000000,305.650822,0.008288,0.225180,0.026475,0.990321,16.920513,tigL
p06_parser,desync,2423,0.253405,2785,5.7979,0.023807,0.014089,0.386877,237.309271,0.102604,0.045455,237.309271,0.027239,0.247982,0.033448,0.987503,16.261654,tigL
p05_vm,desync,2629,0.225181,2961,5.6331,0.025711,0.014017,0.518220,360.339159,0.196953,0.000000,360.339159,0.013693,0.221213,0.036831,0.986578,13.020498,tigL
p01_statemachine,desync,1933,0.244180,2161,5.8252,0.031277,0.020286,0.491938,286.870767,0.117846,0.187500,286.870767,0.008277,0.237423,0.041760,0.984519,19.011120,tigL
p10_collatz,desync,1405,0.274021,1601,5.9273,0.032900,0.021362,0.451238,214.170316,0.126408,0.000000,214.170316,0.011388,0.270292,0.051273,0.980850,19.880924,tigL
p09_matmul,desync,2327,0.232488,2609,5.7093,0.025729,0.015738,0.468719,330.069999,0.088514,0.000000,330.069999,0.012033,0.226885,0.033689,0.987698,15.325187,tigL
p12_modpow,desync,1995,0.245614,2193,5.8299,0.016277,0.017397,0.440693,263.282898,0.095215,0.000000,263.282898,0.011529,0.240830,0.030677,0.988423,45.184728,tigL
p08_binsearch,desync,2008,0.254482,2257,5.8708,0.016834,0.017174,0.507586,326.435889,0.131470,0.000000,326.435889,0.007968,0.247471,0.031896,0.987905,36.839915,tigL
p07_crc,desync,1560,0.263462,1745,5.9273,0.027559,0.020468,0.500447,253.184768,0.120099,0.000000,253.184768,0.009615,0.257731,0.052049,0.978976,20.707126,tigL
p02_insertsort,desync,515,0.314563,561,5.9693,0.023316,0.043567,0.413153,151.631461,0.108204,0.000000,151.631461,0.013592,0.307967,0.088307,0.965613,7.896235,tigM
p06_parser,desync,590,0.308475,641,5.9219,0.031152,0.020136,0.417669,188.595417,0.126596,0.000000,188.595417,0.013559,0.300156,0.066929,0.975104,10.169602,tigM
p05_vm,desync,733,0.326057,817,6.1454,0.025797,0.033189,0.464533,297.934990,0.057836,0.000000,297.934990,0.045020,0.314870,0.063417,0.977508,7.369872,tigM
p01_statemachine,desync,519,0.308285,561,5.9441,0.015674,0.045560,0.499064,295.655043,0.191652,0.000000,295.655043,0.015414,0.300818,0.064744,0.976189,12.147683,tigM
p10_collatz,desync,427,0.323185,465,5.8645,0.037689,0.034322,0.379982,196.147628,0.071338,0.000000,196.147628,0.065574,0.307635,0.069426,0.973649,5.762772,tigM
p09_matmul,desync,725,0.325517,785,6.1706,0.027100,0.018452,0.320257,187.889787,-0.008705,0.000000,187.889787,0.041379,0.319640,0.044679,0.983241,8.462282,tigM
p12_modpow,desync,660,0.303030,721,5.8710,0.015988,0.024980,0.633988,207.239173,0.165586,0.000000,207.239173,0.019697,0.288129,0.052852,0.979744,16.424798,tigM
p08_binsearch,desync,536,0.309701,577,5.9932,0.021431,0.029860,0.353127,180.252608,0.201928,0.000000,180.252608,0.009328,0.302539,0.043582,0.985412,9.837478,tigM
p07_crc,desync,457,0.330416,497,6.0519,0.024134,0.038357,0.660635,210.305781,0.188466,0.000000,210.305781,0.019694,0.319845,0.073442,0.971988,7.294836,tigM
p02_insertsort,desync,535,0.295327,593,5.8042,0.028539,0.064840,0.416280,122.661009,0.041916,0.060000,122.661009,0.093458,0.280810,0.113408,0.959725,3.771677,tigH
p06_parser,desync,634,0.291798,705,5.7927,0.030533,0.065894,0.493860,183.259157,0.061544,0.000000,183.259157,0.009464,0.273509,0.119733,0.952502,3.742086,tigH
p05_vm,desync,883,0.289921,1025,5.7306,0.056926,0.124054,0.506119,208.261412,-0.128276,0.136364,208.261412,0.024915,0.287106,0.106900,0.962561,3.290932,tigH
p01_statemachine,desync,579,0.284974,625,5.7764,0.039325,0.069984,0.428734,145.529142,0.084107,0.075472,145.529142,0.091537,0.274030,0.116671,0.954879,3.793239,tigH
p10_collatz,desync,525,0.299048,577,5.6476,0.025986,0.073646,0.408727,145.312151,0.089816,0.128205,145.312151,0.074286,0.271818,0.116441,0.958199,4.073298,tigH
p09_matmul,desync,788,0.291878,881,5.7663,0.026749,0.075933,0.484873,200.223634,-0.027570,0.000000,200.223634,0.012690,0.267946,0.121625,0.956034,3.243874,tigH
p12_modpow,desync,565,0.299115,625,5.7995,0.023715,0.061407,0.392147,168.821376,0.099834,0.000000,168.821376,0.007080,0.281539,0.089371,0.968073,5.062062,tigH
p08_binsearch,desync,636,0.289308,705,5.8555,0.038150,0.099147,0.431325,144.855108,0.141145,0.000000,144.855108,0.083333,0.268719,0.124983,0.954294,4.102670,tigH
